PERSONID,SURID,COMCOLI,SALARY
030000000000010705,3,0,29000
030000000000010706,3,0,35000
030000000000010707,3,0,45000
030000000000010708,3,0,44000
030000000000010709,3,1,9999999
030000000000010800,3,0,34000
030000000000010801,3,1,29000
030000000000010802,3,0,30000
030000000000010803,3,0,15000
030000000000010804,3,0,28000
030000000000010805,3,0,40000
030000000000010806,3,0,25000
030000000000010807,3,0,38000
030000000000010808,3,0,18000
030000000000010809,3,0,9999998
030000000000010900,3,1,45000
030000000000010901,3,1,24000
030000000000010902,3,0,32000
030000000000010903,3,0,9999998
030000000000010904,3,0,9999998
030000000000010905,3,0,14000
030000000000010906,3,1,24000
030000000000010907,3,0,9999998
030000000000010908,3,0,13000
030000000000010909,3,1,36000
030000000000020000,3,1,9999998
030000000000020001,3,0,36000
030000000000020002,3,1,32000
030000000000020003,3,1,35000
030000000000020004,3,0,9000
030000000000020005,3,1,20000
030000000000020006,3,0,35000
030000000000020007,3,1,43000
030000000000020008,3,0,32000
030000000000020009,3,1,9999998
030000000000020100,3,0,36000
030000000000020101,3,1,46000
030000000000020102,3,0,31000
030000000000020103,3,0,43000
030000000000020104,3,0,44000
030000000000020105,3,0,32000
030000000000020106,3,0,30000
030000000000020107,3,1,9999998
030000000000020108,3,0,9999999
030000000000020109,3,0,39000
030000000000020200,3,0,9999998
030000000000020201,3,0,42000
030000000000020202,3,0,9999999
030000000000020203,3,0,20000
030000000000020204,3,1,29000
030000000000020205,3,0,9999999
030000000000020206,3,0,25000
030000000000020207,3,1,18000
030000000000020208,3,1,36000
030000000000020209,3,1,9999999
030000000000020300,3,1,40000
030000000000020301,3,1,10000
030000000000020302,3,0,36000
030000000000020303,3,0,9999999
030000000000020304,3,1,31000
030000000000020305,3,0,38000
030000000000020306,3,1,9999999
030000000000020307,3,0,9999998
030000000000020308,3,0,38000
030000000000020309,3,0,9999998
030000000000020400,3,1,25000
030000000000020401,3,1,20000
030000000000020402,3,0,21000
030000000000020403,3,0,38000
030000000000020404,3,1,32000
030000000000020405,3,1,35000
030000000000020406,3,0,9999999
030000000000020407,3,0,9999998
030000000000020408,3,1,39000
030000000000020409,3,0,15000
030000000000020500,3,0,9999999
030000000000020501,3,1,60000
030000000000020502,3,0,9999998
030000000000020503,3,0,9999999
030000000000020504,3,0,29000
030000000000020505,3,1,42000
030000000000020506,3,0,9999999
030000000000020507,3,1,9999999
030000000000020508,3,1,24000
030000000000020509,3,1,33000
030000000000020600,3,0,23000
030000000000020601,3,0,19000
030000000000020602,3,0,9999999
030000000000020603,3,0,9999999
030000000000020604,3,1,10000
030000000000020605,3,0,9999998
030000000000020606,3,0,32000
030000000000020607,3,0,9999998
030000000000020608,3,0,38000
030000000000020609,3,0,17000
030000000000020700,3,0,50000
030000000000020701,3,0,9999998
030000000000020702,3,1,9999998
030000000000020703,3,1,34000
030000000000020704,3,1,9999999
030000000000020705,3,1,30000
030000000000020706,3,0,23000
030000000000020707,3,1,24000
030000000000020708,3,0,18000
030000000000020709,3,0,14000
030000000000020800,3,0,9999998
030000000000020801,3,0,50000
030000000000020802,3,1,26000
030000000000020803,3,0,9999999
030000000000020804,3,0,38000
030000000000020805,3,0,23000
030000000000020806,3,1,30000
030000000000020807,3,0,26000
030000000000020808,3,0,46000
030000000000020809,3,0,36000
030000000000020900,3,1,54000
030000000000020901,3,0,36000
030000000000020902,3,0,37000
030000000000020903,3,1,24000
030000000000020904,3,1,49000
030000000000020905,3,1,35000
030000000000020906,3,1,25000
030000000000020907,3,0,9999999
030000000000020908,3,1,30000
030000000000020909,3,0,30000
030000000000030000,3,0,26000
030000000000030001,3,0,15000
030000000000030002,3,0,33000
030000000000030003,3,1,35000
030000000000030004,3,1,35000
030000000000030005,3,0,9999998
030000000000030006,3,0,14000
030000000000030007,3,0,9999999
030000000000030008,3,0,9999998
030000000000030009,3,1,45000
030000000000030100,3,0,17000
030000000000030101,3,1,28000
030000000000030102,3,0,9999999
030000000000030103,3,1,24000
030000000000030104,3,1,9999999
030000000000030105,3,0,35000
030000000000030106,3,0,34000
030000000000030107,3,0,17000
030000000000030108,3,0,9999999
030000000000030109,3,0,9999998
030000000000030200,3,0,14000
030000000000030201,3,1,29000
030000000000030202,3,0,48000
030000000000030203,3,0,9999998
030000000000030204,3,0,9999999
030000000000030205,3,0,9999999
030000000000030206,3,0,9999998
030000000000030207,3,1,9999999
030000000000030208,3,0,32000
030000000000030209,3,0,9999998
030000000000030300,3,1,23000
030000000000030301,3,0,50000
030000000000030302,3,0,30000
030000000000030303,3,0,9999998
030000000000030304,3,1,40000
030000000000030305,3,1,9999999
030000000000030306,3,0,20000
030000000000030307,3,1,9999999
030000000000030308,3,0,9999999
030000000000030309,3,0,35000
030000000000030400,3,0,28000
030000000000030401,3,1,9999998
030000000000030402,3,1,16000
030000000000030403,3,0,9999999
030000000000030404,3,0,9999999
030000000000030405,3,1,63000
030000000000030406,3,0,9999999
030000000000030407,3,1,12000
030000000000030408,3,0,29000
030000000000030409,3,1,39000
030000000000030500,3,0,16000
030000000000030501,3,0,38000
030000000000030502,3,1,9999999
030000000000030503,3,0,35000
030000000000030504,3,0,9999998
030000000000030505,3,1,9999999
030000000000030506,3,0,21000
030000000000030507,3,0,9999998
030000000000030508,3,0,39000
030000000000030509,3,1,21000
030000000000030600,3,1,9999999
030000000000030601,3,0,12000
030000000000030602,3,0,9999999
030000000000030603,3,0,9999998
030000000000030604,3,1,15000
030000000000030605,3,0,9999998
030000000000030606,3,0,32000
030000000000030607,3,1,9999998
030000000000030608,3,0,9999999
030000000000030609,3,0,15000
030000000000030700,3,0,30000
030000000000030701,3,1,28000
030000000000030702,3,0,31000
030000000000030703,3,1,32000
030000000000030704,3,0,9999999
030000000000030705,3,0,26000
030000000000030706,3,1,43000
030000000000030707,3,0,57000
030000000000030708,3,0,9999999
030000000000030709,3,0,35000
030000000000030800,3,1,9999999
030000000000030801,3,0,36000
030000000000030802,3,1,9999999
030000000000030803,3,0,9999998
030000000000030804,3,0,11000
030000000000030805,3,0,27000
030000000000030806,3,0,9999999
030000000000030807,3,0,49000
030000000000030808,3,0,50000
030000000000030809,3,0,42000
030000000000030900,3,0,41000
030000000000030901,3,1,9999999
030000000000030902,3,1,9999998
030000000000030903,3,1,23000
030000000000030904,3,0,24000
030000000000030905,3,0,23000
030000000000030906,3,0,65000
030000000000030907,3,0,9999999
030000000000030908,3,0,36000
030000000000030909,3,0,9999998
030000000000040000,3,0,9999999
030000000000040001,3,0,28000
030000000000040002,3,0,19000
030000000000040003,3,0,9999998
030000000000040004,3,0,9999999
030000000000040005,3,0,41000
030000000000040006,3,0,37000
030000000000040007,3,0,32000
030000000000040008,3,1,9999998
030000000000040009,3,0,43000
030000000000040100,3,0,9999998
030000000000040101,3,0,9000
030000000000040102,3,0,9999998
030000000000040103,3,0,9999998
030000000000040104,3,1,19000
030000000000040105,3,0,9999999
030000000000040106,3,0,9999999
030000000000040107,3,0,9999998
030000000000040108,3,0,23000
030000000000040109,3,0,9999998
030000000000040200,3,0,37000
030000000000040201,3,1,9999998
030000000000040202,3,1,9999999
030000000000040203,3,0,41000
030000000000040204,3,1,9999999
030000000000040205,3,1,52000
030000000000040206,3,0,52000
030000000000040207,3,0,9999998
030000000000040208,3,1,15000
030000000000040209,3,0,26000
030000000000040300,3,0,9999998
030000000000040301,3,1,30000
030000000000040302,3,0,12000
030000000000040303,3,0,9999999
030000000000040304,3,1,23000
030000000000040305,3,0,9999998
030000000000040306,3,0,9999998
030000000000040307,3,0,9999998
030000000000040308,3,0,12000
030000000000040309,3,0,9999999
030000000000040400,3,1,29000
030000000000040401,3,1,32000
030000000000040402,3,0,39000
030000000000040403,3,0,27000
030000000000040404,3,0,48000
030000000000040405,3,0,14000
030000000000040406,3,0,9999999
030000000000040407,3,0,25000
030000000000040408,3,0,23000
030000000000040409,3,1,9999998
030000000000040500,3,1,23000
030000000000040501,3,1,42000
030000000000040502,3,1,9999998
030000000000040503,3,1,9999998
030000000000040504,3,1,9999998
030000000000040505,3,0,38000
030000000000040506,3,0,9999999
030000000000040507,3,1,26000
030000000000040508,3,0,20000
030000000000040509,3,1,24000
030000000000040600,3,1,9999998
030000000000040601,3,0,13000
030000000000040602,3,0,9999999
030000000000040603,3,0,9999998
030000000000040604,3,1,21000
030000000000040605,3,0,9999998
030000000000040606,3,1,9999999
030000000000040607,3,0,9999998
030000000000040608,3,0,31000
030000000000040609,3,0,9999998
030000000000040700,3,1,26000
030000000000040701,3,0,38000
030000000000040702,3,1,9999998
030000000000040703,3,0,9999998
030000000000040704,3,0,9000
030000000000040705,3,1,42000
030000000000040706,3,0,9999999
030000000000040707,3,0,9999998
030000000000040708,3,1,9999998
030000000000040709,3,1,9999998
030000000000040800,3,0,9999999
030000000000040801,3,0,9000
030000000000040802,3,1,28000
030000000000040803,3,0,14000
030000000000040804,3,1,39000
030000000000040805,3,0,14000
030000000000040806,3,0,40000
030000000000040807,3,0,21000
030000000000040808,3,0,44000
030000000000040809,3,1,39000
030000000000040900,3,1,9999998
030000000000040901,3,1,44000
030000000000040902,3,1,47000
030000000000040903,3,0,52000
030000000000040904,3,1,9999999
030000000000040905,3,1,9999999
030000000000040906,3,1,52000
030000000000040907,3,0,42000
030000000000040908,3,1,18000
030000000000040909,3,0,26000
030000000000050000,3,0,45000
030000000000050001,3,0,9999998
030000000000050002,3,1,9999999
030000000000050003,3,1,35000
030000000000050004,3,0,35000
030000000000050005,3,1,60000
030000000000050006,3,1,16000
030000000000050007,3,0,9999999
030000000000050008,3,0,9999999
030000000000050009,3,0,42000
030000000000050100,3,0,53000
030000000000050101,3,1,90000
030000000000050102,3,0,43000
030000000000050103,3,0,40000
030000000000050104,3,0,9999998
030000000000050105,3,0,28000
030000000000050106,3,0,9999998
030000000000050107,3,0,9999999
030000000000050108,3,1,42000
030000000000050109,3,0,10000
030000000000050200,3,0,40000
030000000000050201,3,0,45000
030000000000050202,3,1,29000
030000000000050203,3,1,35000
030000000000050204,3,0,9999999
030000000000050205,3,1,47000
030000000000050206,3,1,7000
030000000000050207,3,0,21000
030000000000050208,3,1,20000
030000000000050209,3,0,16000
030000000000050300,3,0,23000
030000000000050301,3,0,46000
030000000000050302,3,0,9999998
030000000000050303,3,0,9999999
030000000000050304,3,1,40000
030000000000050305,3,1,22000
030000000000050306,3,0,9999998
030000000000050307,3,0,27000
030000000000050308,3,0,25000
030000000000050309,3,0,12000
030000000000050400,3,1,16000
030000000000050401,3,0,9999999
030000000000050402,3,0,35000
030000000000050403,3,0,42000
030000000000050404,3,1,9999999
030000000000050405,3,0,36000
030000000000050406,3,0,9999998
030000000000050407,3,1,16000
030000000000050408,3,0,9999999
030000000000050409,3,0,36000
030000000000050500,3,0,9999999
030000000000050501,3,0,9999998
030000000000050502,3,0,9999999
030000000000050503,3,1,32000
030000000000050504,3,0,22000
030000000000050505,3,0,9999998
030000000000050506,3,0,13000
030000000000050507,3,1,28000
030000000000050508,3,0,36000
030000000000050509,3,0,16000
030000000000050600,3,0,23000
030000000000050601,3,0,9999998
030000000000050602,3,0,21000
030000000000050603,3,0,9999999
030000000000050604,3,1,9999998
030000000000050605,3,0,9999998
030000000000050606,3,0,35000
030000000000050607,3,0,30000
030000000000050608,3,0,20000
030000000000050609,3,1,27000
030000000000050700,3,0,9999999
030000000000050701,3,1,14000
030000000000050702,3,0,36000
030000000000050703,3,0,42000
030000000000050704,3,0,9999999
030000000000050705,3,0,9999998
030000000000050706,3,0,16000
030000000000050707,3,0,9999999
030000000000050708,3,0,52000
030000000000050709,3,0,9999999
030000000000050800,3,0,9999999
030000000000050801,3,1,32000
030000000000050802,3,1,37000
030000000000050803,3,0,26000
030000000000050804,3,1,50000
030000000000050805,3,0,22000
030000000000050806,3,0,9999998
030000000000050807,3,1,9999999
030000000000050808,3,0,9999998
030000000000050809,3,1,48000
030000000000050900,3,1,9999998
030000000000050901,3,0,9999999
030000000000050902,3,0,58000
030000000000050903,3,0,9999999
030000000000050904,3,0,9999998
030000000000050905,3,0,23000
030000000000050906,3,0,43000
030000000000050907,3,0,55000
030000000000050908,3,1,23000
030000000000050909,3,0,39000
030000000000060000,3,0,9999999
030000000000060001,3,0,38000
030000000000060002,3,0,29000
030000000000060003,3,1,21000
030000000000060004,3,0,9999999
030000000000060005,3,0,9999998
030000000000060006,3,1,9999998
030000000000060007,3,1,9999998
030000000000060008,3,1,30000
030000000000060009,3,0,52000
030000000000060100,3,1,27000
030000000000060101,3,0,20000
030000000000060102,3,0,28000
030000000000060103,3,0,10000
030000000000060104,3,0,62000
030000000000060105,3,1,35000
030000000000060106,3,0,34000
030000000000060107,3,1,9999998
030000000000060108,3,1,9999998
030000000000060109,3,1,9999999
030000000000060200,3,1,24000
030000000000060201,3,1,33000
030000000000060202,3,0,40000
030000000000060203,3,0,45000
030000000000060204,3,0,31000
030000000000060205,3,0,9999998
030000000000060206,3,1,9999999
030000000000060207,3,0,20000
030000000000060208,3,0,30000
030000000000060209,3,1,32000
030000000000060300,3,0,9999999
030000000000060301,3,0,47000
030000000000060302,3,0,31000
030000000000060303,3,0,9999999
030000000000060304,3,0,9999999
030000000000060305,3,0,14000
030000000000060306,3,0,9999999
030000000000060307,3,0,9999999
030000000000060308,3,0,44000
030000000000060309,3,1,29000
030000000000060400,3,0,9999998
030000000000060401,3,0,40000
030000000000060402,3,0,42000
030000000000060403,3,0,24000
030000000000060404,3,1,14000
030000000000060405,3,0,22000
030000000000060406,3,0,9999999
030000000000060407,3,0,22000
030000000000060408,3,1,24000
030000000000060409,3,0,48000
030000000000060500,3,1,40000
030000000000060501,3,0,29000
030000000000060502,3,1,9999999
030000000000060503,3,0,9999999
030000000000060504,3,1,9999999
030000000000060505,3,0,9999999
030000000000060506,3,0,9999999
030000000000060507,3,1,25000
030000000000060508,3,0,34000
030000000000060509,3,0,38000
030000000000060600,3,0,9999999
030000000000060601,3,0,30000
030000000000060602,3,0,9999998
030000000000060603,3,0,9999998
030000000000060604,3,0,10000
030000000000060606,3,1,32000
030000000000060607,3,1,37000
030000000000060608,3,0,21000
030000000000060609,3,0,9999999
030000000000060700,3,1,16000
030000000000060701,3,0,43000
030000000000060702,3,0,41000
030000000000060703,3,0,42000
030000000000060704,3,0,40000
030000000000060705,3,1,9999999
030000000000060706,3,1,34000
030000000000060707,3,0,9999998
030000000000060708,3,0,21000
030000000000060709,3,0,24000
030000000000060800,3,0,36000
030000000000060801,3,0,9999998
030000000000060802,3,0,9999999
030000000000060803,3,0,30000
030000000000060804,3,0,38000
030000000000060805,3,0,9999998
030000000000060806,3,1,9999998
030000000000060807,3,0,12000
030000000000060808,3,0,9999998
030000000000060809,3,1,27000
030000000000060900,3,0,9999999
030000000000060901,3,1,9999999
030000000000060902,3,1,27000
030000000000060903,3,0,61000
030000000000060904,3,0,13000
030000000000060905,3,0,34000
030000000000060906,3,1,15000
030000000000060907,3,1,52000
030000000000060908,3,0,34000
030000000000060909,3,1,48000
030000000000070000,3,0,9999998
030000000000070001,3,1,45000
030000000000070002,3,1,30000
030000000000070003,3,1,42000
030000000000070004,3,1,38000
030000000000070005,3,1,9999999
030000000000070006,3,0,9999999
030000000000070007,3,0,9999999
030000000000070008,3,0,9999999
030000000000070009,3,1,20000
030000000000070100,3,0,27000
030000000000070101,3,1,40000
030000000000070102,3,1,23000
030000000000070103,3,1,9999999
030000000000070104,3,1,37000
030000000000070105,3,0,24000
030000000000070106,3,0,20000
030000000000070107,3,0,9999998
030000000000070108,3,1,39000
030000000000070109,3,0,9999999
030000000000070200,3,0,9999998
030000000000070201,3,1,25000
030000000000070202,3,0,32000
030000000000070203,3,0,9999999
030000000000070204,3,0,9999999
030000000000070205,3,1,9999998
030000000000070206,3,0,32000
030000000000070207,3,0,47000
030000000000070208,3,1,9999999
030000000000070209,3,0,27000
030000000000070300,3,1,9999998
030000000000070301,3,0,23000
030000000000070302,3,0,33000
030000000000070303,3,1,30000
030000000000070304,3,0,32000
030000000000070305,3,0,50000
030000000000070306,3,0,9999999
030000000000070307,3,1,9999999
030000000000070308,3,0,9999998
030000000000070309,3,0,47000
030000000000070400,3,1,9999998
030000000000070401,3,0,44000
030000000000070402,3,0,35000
030000000000070403,3,0,29000
030000000000070404,3,0,36000
030000000000070405,3,0,48000
030000000000070406,3,0,9999999
030000000000070407,3,0,32000
030000000000070408,3,0,40000
030000000000070409,3,0,23000
030000000000070500,3,1,28000
030000000000070501,3,0,9999999
030000000000070502,3,0,9999999
030000000000070503,3,0,35000
030000000000070504,3,1,19000
030000000000070505,3,1,53000
030000000000070506,3,0,23000
030000000000070507,3,0,50000
030000000000070508,3,0,31000
030000000000070509,3,0,42000
030000000000070600,3,0,9999999
030000000000070601,3,0,16000
030000000000070602,3,0,9999998
030000000000070603,3,0,35000
030000000000070604,3,0,9999999
030000000000070605,3,0,38000
030000000000070606,3,1,22000
030000000000070607,3,0,33000
030000000000070608,3,1,9999999
030000000000070609,3,1,42000
030000000000070700,3,0,9999998
030000000000070701,3,0,9999999
030000000000070702,3,0,16000
030000000000070703,3,0,22000
030000000000070704,3,0,27000
030000000000070705,3,0,9999999
030000000000070706,3,0,9999998
030000000000070707,3,0,24000
030000000000070708,3,0,15000
030000000000070709,3,0,9999999
030000000000070800,3,0,9999999
030000000000070801,3,1,9999998
030000000000070802,3,0,32000
030000000000070803,3,0,9999999
030000000000070804,3,0,26000
030000000000070805,3,0,20000
030000000000070806,3,0,46000
030000000000070807,3,0,9999999
030000000000070808,3,1,39000
030000000000070809,3,0,9999999
030000000000070900,3,0,9999999
030000000000070901,3,0,21000
030000000000070902,3,0,30000
030000000000070903,3,0,51000
030000000000070904,3,1,42000
030000000000070905,3,0,34000
030000000000070906,3,0,35000
030000000000070907,3,0,9999999
030000000000070908,3,0,24000
030000000000070909,3,1,40000
030000000000080000,3,1,40000
030000000000080001,3,1,32000
030000000000080002,3,0,9999999
030000000000080003,3,0,9999999
030000000000080004,3,0,28000
030000000000080005,3,0,37000
030000000000080006,3,1,55000
030000000000080007,3,0,9999999
030000000000080008,3,1,57000
030000000000080009,3,0,9999999
030000000000080100,3,0,36000
030000000000080101,3,1,9999999
030000000000080102,3,1,24000
030000000000080103,3,0,9999998
030000000000080104,3,1,25000
030000000000080105,3,1,9999999
030000000000080106,3,1,36000
030000000000080107,3,0,24000
030000000000080108,3,1,38000
030000000000080109,3,0,36000
030000000000080200,3,0,21000
030000000000080201,3,1,40000
030000000000080202,3,1,32000
030000000000080203,3,1,9999999
030000000000080204,3,0,29000
030000000000080205,3,1,9999998
030000000000080206,3,1,19000
030000000000080207,3,1,9999999
030000000000080208,3,0,35000
030000000000080209,3,0,68000
030000000000080300,3,0,36000
030000000000080301,3,0,18000
030000000000080302,3,0,45000
030000000000080303,3,0,9999999
030000000000080304,3,1,21000
030000000000080305,3,0,34000
030000000000080306,3,0,26000
030000000000080307,3,0,48000
030000000000080308,3,0,9999999
030000000000080309,3,1,9999999
030000000000080400,3,1,38000
030000000000080401,3,0,9999998
030000000000080402,3,1,42000
030000000000080403,3,0,43000
030000000000080404,3,0,9999999
030000000000080405,3,0,34000
030000000000080406,3,0,9999998
030000000000080407,3,1,47000
030000000000080408,3,0,21000
030000000000080409,3,0,20000
030000000000080500,3,0,27000
030000000000080501,3,0,9999999
030000000000080502,3,1,44000
030000000000080503,3,0,9999999
030000000000080504,3,0,56000
030000000000080505,3,0,60000
030000000000080506,3,0,9999998
030000000000080507,3,0,9999998
030000000000080509,3,0,20000
030000000000080600,3,1,9999998
030000000000080601,3,0,9999999
030000000000080602,3,1,50000
030000000000080603,3,0,30000
030000000000080604,3,1,9999998
030000000000080605,3,0,9999998
030000000000080606,3,0,9999999
030000000000080607,3,0,45000
030000000000080608,3,0,9999999
030000000000080609,3,1,32000
030000000000080700,3,0,9999999
030000000000080701,3,0,9999999
030000000000080702,3,0,34000
030000000000080703,3,1,37000
030000000000080704,3,0,9999999
030000000000080705,3,0,21000
030000000000080706,3,0,46000
030000000000080707,3,0,37000
030000000000080708,3,0,40000
030000000000080709,3,1,9999999
030000000000080800,3,0,9999999
030000000000080801,3,1,31000
030000000000080802,3,0,27000
030000000000080803,3,0,9999999
030000000000080804,3,0,33000
030000000000080805,3,1,9999999
030000000000080806,3,0,9999999
030000000000080807,3,0,55000
030000000000080808,3,0,30000
030000000000080809,3,0,34000
030000000000080900,3,0,20000
030000000000080901,3,1,9999998
030000000000080902,3,0,25000
030000000000080903,3,0,9999998
030000000000080904,3,0,9999999
030000000000080905,3,0,9999998
030000000000080906,3,1,20000
030000000000080907,3,0,9999999
030000000000080908,3,0,25000
030000000000080909,3,0,36000
030000000000090000,3,0,47000
030000000000090001,3,0,36000
030000000000090002,3,0,36000
030000000000090003,3,0,12000
030000000000090004,3,1,19000
030000000000090005,3,0,9999999
030000000000090006,3,0,43000
030000000000090007,3,0,34000
030000000000090008,3,1,22000
030000000000090009,3,0,9999998
030000000000090100,3,0,43000
030000000000090101,3,0,19000
030000000000090102,3,0,38000
030000000000090103,3,1,40000
030000000000090104,3,1,9999999
030000000000090105,3,0,9999999
030000000000090106,3,0,55000
030000000000090107,3,1,32000
030000000000090108,3,0,25000
030000000000090109,3,0,9999999
030000000000090200,3,0,27000
030000000000090201,3,0,9999998
030000000000090202,3,1,30000
030000000000090203,3,0,9999999
030000000000090204,3,1,45000
030000000000090205,3,0,39000
030000000000090206,3,1,26000
030000000000090207,3,0,15000
030000000000090208,3,0,29000
030000000000090209,3,0,9999999
030000000000090300,3,0,25000
030000000000090301,3,0,28000
030000000000090302,3,0,9999998
030000000000090303,3,1,9999998
030000000000090304,3,0,38000
030000000000090305,3,0,9999999
030000000000090306,3,0,33000
030000000000090307,3,1,24000
030000000000090308,3,0,24000
030000000000090309,3,0,9999999
030000000000090400,3,0,21000
030000000000090401,3,0,12000
030000000000090402,3,1,9999999
030000000000090403,3,0,32000
030000000000090404,3,0,36000
030000000000090405,3,0,9999998
030000000000090406,3,0,32000
030000000000090407,3,0,9999998
030000000000090408,3,0,18000
030000000000090409,3,1,22000
030000000000090500,3,1,33000
030000000000090501,3,0,50000
030000000000090502,3,0,9999998
030000000000090503,3,1,28000
030000000000090504,3,0,9999999
030000000000090505,3,0,9999998
030000000000090506,3,0,28000
030000000000090507,3,0,22000
030000000000090508,3,1,23000
030000000000090509,3,0,30000
030000000000090600,3,0,9999998
030000000000090601,3,1,26000
030000000000090602,3,1,9999998
030000000000090603,3,0,12000
030000000000090604,3,0,65000
030000000000090605,3,0,21000
030000000000090606,3,1,9999999
030000000000090607,3,1,9999999
030000000000090608,3,0,24000
030000000000090609,3,0,38000
030000000000090700,3,0,9999999
030000000000090701,3,0,21000
030000000000090702,3,1,60000
030000000000090703,3,1,28000
030000000000090704,3,0,25000
030000000000090705,3,0,28000
